Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_100,Healthy_stool_100_50
NA,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans,Leptospirillum ferrooxidans,1373,1,NA,NA,1,NA,5,1
NA,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum sp. Group II 'CF-1',Leptospirillum sp. Group II 'CF-1',1374,5,3,NA,NA,1,1,3
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,g_Leptothrix,Leptothrix,1375,NA,NA,NA,1,NA,NA,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,Leptothrix cholodnii,Leptothrix cholodnii,1376,7,10,9,9,10,2,9
NA,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia buccalis,Leptotrichia buccalis,1377,2,4,3,3,1,5,2
NA,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 212,Leptotrichia sp. oral taxon 212,1378,1,2,2,1,3,NA,3
NA,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 847,Leptotrichia sp. oral taxon 847,1379,1,NA,1,1,2,3,3
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,g_Leuconostoc,Leuconostoc,1380,NA,1,NA,NA,NA,NA,NA
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc carnosum,Leuconostoc carnosum,1381,1,7,2,3,NA,1,1
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc citreum,Leuconostoc citreum,1382,2,6,4,3,NA,4,1
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum,Leuconostoc gelidum,1383,2,5,2,NA,3,2,2
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc kimchii,Leuconostoc kimchii,1384,5,9,2,3,2,3,2
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc lactis,Leuconostoc lactis,1385,2,6,3,2,2,1,1
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,Leuconostoc mesenteroides,1386,2,7,5,3,3,1,1
NA,Uroviricota,Caudoviricetes,c_Caudoviricetes,c_Caudoviricetes,Limdunavirus,Limdunavirus P793,Leuconostoc phage P793,1387,NA,NA,1,NA,NA,NA,NA
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc sp. C2,Leuconostoc sp. C2,1388,3,9,2,4,3,2,1
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Liberibacter,Liberibacter crescens,Liberibacter crescens,1389,NA,NA,NA,NA,NA,2,2
NA,Bacillota,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,g_Limnochorda,Limnochorda,1390,NA,1,NA,NA,NA,NA,NA
NA,Bacillota,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,Limnochorda pilosa,Limnochorda pilosa,1391,9,9,8,11,2,3,4
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans sp. 103DPR2,Limnohabitans sp. 103DPR2,1392,2,2,1,5,1,3,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Limnohabitans sp. 63ED37-2,Limnohabitans sp. 63ED37-2,1393,2,4,3,6,4,2,3
NA,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria innocua,Listeria innocua,1394,NA,NA,1,3,1,3,1
NA,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria ivanovii,Listeria ivanovii,1395,2,NA,1,NA,1,5,6
NA,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria monocytogenes,1396,NA,1,4,5,6,10,12
NA,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria seeligeri,Listeria seeligeri,1397,NA,NA,1,NA,1,2,1
NA,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria welshimeri,Listeria welshimeri,1398,1,NA,1,NA,1,2,3
NA,Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Luteipulveratus,Luteipulveratus mongoliensis,Luteipulveratus mongoliensis,1399,5,9,11,11,1,2,1
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter profundi,Lutibacter sp. LP1,1400,1,NA,1,1,5,4,1
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Urechidicola,Urechidicola croceus,Lutibacter sp. LPB0138,1401,4,NA,NA,3,2,3,6
NA,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Lymphocystivirus,Lymphocystivirus paralichthys1,Lymphocystis disease virus - isolate China,1402,NA,NA,NA,1,NA,NA,NA
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,Lysinibacillus fusiformis,1403,2,1,1,2,2,2,3
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,Lysinibacillus sphaericus,1404,2,1,1,2,6,6,4
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus varians,Lysinibacillus varians,1405,3,1,4,1,5,6,2
NA,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,g_Lysobacter,Lysobacter,1406,NA,NA,1,NA,NA,NA,NA
NA,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter antibioticus,Lysobacter antibioticus,1407,4,7,5,6,NA,1,5
NA,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter capsici,Lysobacter capsici,1408,4,6,3,6,NA,4,1
NA,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,Lysobacter gummosus,Lysobacter gummosus,1409,2,5,NA,3,NA,3,4
NA,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides caseolyticum,Macrococcus caseolyticus,1410,1,1,NA,3,3,2,1
NA,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Mageeibacillus,Mageeibacillus indolicus,Mageeibacillus indolicus,1411,9,2,4,10,7,3,7
NA,Pseudomonadota,Magnetococcia,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,Magnetococcus marinus,1412,1,1,4,6,NA,1,4
NA,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Magnetospira,Magnetospira sp. QH-2,Magnetospira sp. QH-2,1413,4,4,1,2,1,5,3
NA,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense,Magnetospirillum gryphiswaldense,1414,8,5,12,2,1,1,3
NA,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Paramagnetospirillum,Paramagnetospirillum magneticum,Magnetospirillum magneticum,1415,6,7,11,11,7,1,6
NA,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum sp. XM-1,Magnetospirillum sp. XM-1,1416,2,10,8,12,4,3,8
NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,Mahella australiensis,Mahella australiensis,1417,2,2,4,6,4,2,3
NA,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Maize bushy stunt phytoplasma,Maize bushy stunt phytoplasma,1418,2,NA,NA,NA,1,NA,2
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia haemolytica,Mannheimia haemolytica,1419,8,2,1,4,3,2,2
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia sp. USDA-ARS-USMARC-1261,Mannheimia sp. USDA-ARS-USMARC-1261,1420,4,3,1,2,3,3,1
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia varigena,Mannheimia varigena,1421,5,NA,NA,2,2,1,2
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. 1_2014MBL_MicDiv,Maribacter sp. 1_2014MBL_MicDiv,1422,12,3,2,7,11,3,2
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. HTCC2170,Maribacter sp. HTCC2170,1423,3,2,4,1,14,1,4
NA,Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,Maricaulis maris,Maricaulis maris,1424,3,6,4,12,5,1,5
NA,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,g_Marichromatium,Marichromatium,1425,NA,NA,NA,NA,NA,1,NA
NA,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium,Marichromatium purpuratum,Marichromatium purpuratum,1426,5,9,8,9,10,4,2
NA,Deinococcota,Deinococci,Thermales,Thermaceae,Marinithermus,Marinithermus hydrothermalis,Marinithermus hydrothermalis,1427,6,6,4,8,6,1,1
NA,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,Marinitoga piezophila,Marinitoga piezophila,1428,1,NA,NA,NA,3,2,3
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,g_Marinobacter,Marinobacter,1429,NA,NA,NA,NA,NA,NA,1
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter adhaerens,Marinobacter adhaerens,1430,4,4,2,5,2,3,4
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter nauticus,Marinobacter hydrocarbonoclasticus,1431,9,12,3,7,5,4,2
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter psychrophilus,Marinobacter psychrophilus,1432,4,7,1,3,NA,2,1
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter salarius,Marinobacter salarius,1433,3,2,3,2,NA,2,2
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter similis,Marinobacter similis,1434,9,1,2,4,5,NA,3
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. BSs20148,Marinobacter sp. BSs20148,1435,2,6,4,4,NA,2,3
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. CP1,Marinobacter sp. CP1,1436,5,4,5,4,3,NA,3
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter salinus,Marinobacter sp. Hb8,1437,2,2,NA,1,2,NA,1
NA,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. LQ44,Marinobacter sp. LQ44,1438,5,NA,4,1,NA,3,NA
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium aestuarii,Marinobacterium sp. ST58-10,1439,11,9,4,5,8,1,2
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas mediterranea,Marinomonas mediterranea,1440,NA,1,3,NA,1,3,5
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas posidonica,Marinomonas posidonica,1441,5,3,2,9,4,1,2
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. MWYL1,Marinomonas sp. MWYL1,1442,NA,2,NA,2,2,1,3
NA,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Marinovum,g_Marinovum,Marinovum,1443,NA,NA,2,NA,NA,NA,NA
NA,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Marinovum,Marinovum algicola,Marinovum algicola,1444,3,2,3,3,1,6,2
NA,Bacteroidota,Cytophagia,Cytophagales,Marivirgaceae,Marivirga,Marivirga tractuosa,Marivirga tractuosa,1445,4,6,3,1,7,2,3
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,g_Martelella,Martelella,1446,NA,NA,2,NA,NA,NA,NA
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Martelella endophytica,Martelella endophytica,1447,8,4,7,4,2,5,4
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Martelella sp. AD-3,Martelella sp. AD-3,1448,7,11,13,12,3,2,4
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,g_Massilia,Massilia,1449,NA,2,NA,2,NA,NA,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. NR 4-1,Massilia sp. NR 4-1,1450,8,4,9,11,2,8,3
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. WG5,Massilia sp. WG5,1451,1,7,11,6,3,2,3
NA,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,Megasphaera elsdenii,1452,18,5,7,9,67,673,134
NA,Deinococcota,Deinococci,Thermales,Thermaceae,Meiothermus,Meiothermus ruber,Meiothermus ruber,1453,4,4,4,4,2,2,2
NA,Deinococcota,Deinococci,Thermales,Thermaceae,Allomeiothermus,Allomeiothermus silvanus,Meiothermus silvanus,1454,3,5,1,1,1,2,2
NA,Ignavibacteriota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,Melioribacter,Melioribacter roseus,Melioribacter roseus,1455,4,3,1,2,5,4,NA
NA,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,Melissococcus plutonius,Melissococcus plutonius,1456,3,1,NA,1,2,1,3
NA,Mycoplasmatota,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,Mesoplasma florum,Mesoplasma florum,1457,NA,1,NA,1,1,2,5
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,g_Mesorhizobium,Mesorhizobium,1458,NA,NA,2,2,NA,NA,NA
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium amorphae,Mesorhizobium amorphae,1459,2,3,4,5,5,1,4
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium australicum,Mesorhizobium australicum,1460,1,4,4,3,1,1,2
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium ciceri,Mesorhizobium ciceri,1461,7,4,10,10,4,2,5
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti,Mesorhizobium loti,1462,NA,5,9,6,6,3,8
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium opportunistum,Mesorhizobium opportunistum,1463,3,2,7,3,7,1,4
NA,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga prima,Mesotoga prima,1464,NA,NA,NA,NA,1,1,1
NA,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,Metallosphaera cuprina,1465,NA,NA,NA,1,NA,NA,NA
NA,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,Metallosphaera sedula,1466,NA,NA,NA,NA,NA,NA,1
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,Methanobacterium formicicum,1467,NA,1,3,3,1,1,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus,Methanobacterium lacus,1468,NA,NA,NA,NA,NA,NA,1
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium paludis,Methanobacterium paludis,1469,NA,NA,NA,NA,NA,2,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp. MB1,Methanobacterium sp. MB1,1470,NA,2,NA,NA,NA,NA,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter millerae,Methanobrevibacter millerae,1471,2,NA,1,1,2,3,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter olleyae,Methanobrevibacter olleyae,1472,1,NA,NA,1,1,1,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,1473,1,3,NA,1,1,3,3
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii,Methanobrevibacter smithii,1474,1,NA,NA,1,266,522,426
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. AbM4,Methanobrevibacter sp. AbM4,1475,2,1,NA,1,3,2,2
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. YE315,Methanobrevibacter sp. YE315,1476,NA,NA,NA,NA,NA,1,NA
NA,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus bathoardescens,Methanocaldococcus bathoardescens,1477,NA,NA,1,1,NA,NA,1
NA,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens,Methanocaldococcus fervens,1478,NA,NA,1,NA,NA,NA,NA
NA,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus infernus,Methanocaldococcus infernus,1479,NA,1,NA,NA,NA,NA,1
NA,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus sp. FS406-22,Methanocaldococcus sp. FS406-22,1480,NA,NA,NA,NA,NA,2,NA
NA,Methanobacteriota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae,Methanocella arvoryzae,1481,1,3,2,3,2,1,2
NA,Methanobacteriota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella conradii,Methanocella conradii,1482,NA,2,NA,1,NA,2,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii,1483,NA,1,NA,1,NA,2,3
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides methylutens,Methanococcoides methylutens,1484,NA,NA,NA,NA,2,NA,2
NA,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus,Methanococcus aeolicus,1485,NA,NA,NA,NA,1,NA,1
NA,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis,1486,5,NA,NA,1,3,6,2
NA,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,Methanococcus vannielii,1487,1,NA,NA,NA,NA,1,NA
NA,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus voltae,Methanococcus voltae,1488,NA,NA,1,NA,3,2,2
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum,1489,1,1,1,3,NA,1,1
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis,Methanoculleus bourgensis,1490,1,2,2,NA,1,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri,Methanoculleus marisnigri,1491,1,1,NA,NA,2,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus sp. MAB1,Methanoculleus sp. MAB1,1492,1,2,1,NA,1,NA,NA
NA,Thermoplasmatota,Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,methanogenic archaeon ISO4-H5,methanogenic archaeon ISO4-H5,1493,5,3,1,2,3,NA,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum,Methanohalobium evestigatum,1494,1,NA,NA,NA,1,1,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus mahii,Methanohalophilus mahii,1495,NA,1,NA,NA,NA,2,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,Methanolacinia petrolearia,1496,5,2,1,NA,1,1,4
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus,Methanolobus psychrophilus,1497,1,2,NA,NA,2,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica,Methanomethylovorans hollandica,1498,1,1,2,4,8,NA,1
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei,Methanoregula boonei,1499,NA,1,1,NA,NA,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula formicica,Methanoregula formicica,1500,6,1,2,NA,8,1,NA
NA,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix soehngenii,Methanosaeta concilii,1501,1,1,NA,1,NA,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix harundinacea,Methanosaeta harundinacea,1502,1,2,NA,2,NA,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum zhilinae,Methanosalsum zhilinae,1503,NA,1,1,NA,1,3,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans,Methanosarcina acetivorans,1504,1,1,NA,1,1,1,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri,1505,1,2,2,3,2,1,6
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis,Methanosarcina horonobensis,1506,3,1,NA,5,2,NA,2
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina lacustris,Methanosarcina lacustris,1507,1,2,NA,2,NA,1,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei,1508,8,3,NA,3,5,1,6
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina siciliae,Methanosarcina siciliae,1509,1,2,NA,3,3,NA,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. Kolksee,Methanosarcina sp. Kolksee,1510,1,2,NA,1,NA,NA,3
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. MTP4,Methanosarcina sp. MTP4,1511,NA,NA,NA,1,NA,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WH1,Methanosarcina sp. WH1,1512,2,NA,NA,1,NA,1,NA
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. WWM596,Methanosarcina sp. WWM596,1513,1,NA,NA,1,NA,2,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina thermophila,Methanosarcina thermophila,1514,2,NA,1,1,1,2,1
NA,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina vacuolata,Methanosarcina vacuolata,1515,1,2,1,1,NA,NA,3
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae,1516,1,NA,2,NA,2,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris,Methanosphaerula palustris,1517,4,NA,1,3,3,NA,NA
NA,Methanobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei,1518,2,2,2,1,5,2,NA
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter sp. CaT2,Methanothermobacter sp. CaT2,1519,NA,NA,NA,NA,1,NA,2
NA,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,Methanothermobacter thermautotrophicus,1520,NA,NA,1,NA,1,NA,2
NA,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,Methanothermococcus okinawensis,1521,NA,NA,NA,NA,NA,2,3
NA,Verrucomicrobiota,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum (ex Ratnadevi et al. 2023),Candidatus Methylacidiphilum fumarolicum,Methylacidiphilum fumariolicum,1522,1,NA,1,NA,2,1,NA
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Methylibium,Methylibium petroleiphilum,Methylibium petroleiphilum,1523,4,8,8,6,1,3,5
NA,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus flagellatus,Methylobacillus flagellatus,1524,3,4,2,4,6,NA,1
