Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-11450	Cloning_vector_pCPP5312,_complete_sequence.	6479
Sequence-11451	Cloning_vector_pCPP5702,_complete_sequence.	8791
Sequence-11452	Cloning_vector_pAW8,_complete_sequence.	8252
Sequence-11453	Cloning_vector_pAW12,_complete_sequence.	4784
Sequence-11454	Cloning_vector_pEZY202,_complete_sequence.	12414
Sequence-11455	Cloning_vector_pBB175,_complete_sequence.	7612
Sequence-11456	Cloning_vector_pBB173,_complete_sequence.	7666
Sequence-11457	Cloning_vector_pFOSAMP,_complete_sequence.	8717
Sequence-11458	Cloning_vector_p7S6,_complete_sequence.	3800
Sequence-11459	Cloning_vector_pMQ2,_complete_sequence.	8636
Sequence-11460	Cloning_vector_pMAK27,_complete_sequence.	3836
Sequence-11461	Cloning_vector_pHC09,_complete_sequence.	9548
Sequence-11462	Cloning_vector_pPSX,_complete_sequence.	14757
Sequence-11463	Cloning_vector_pOpt_mRuby2_Hyg,_complete_sequence.	6858
Sequence-11464	Cloning_vector_pNIGEL16,_complete_sequence.	7977
Sequence-11465	Cloning_vector_pNIGEL19,_complete_sequence.	7570
Sequence-11466	Cloning_vector_pCK906,_complete_sequence.	8379
Sequence-11467	Cloning_vector_BASIC_3_Kan,_complete_sequence.	3987
Sequence-11468	Cloning_vector_pYC25,_complete_sequence.	6418
Sequence-11469	Cloning_vector_pYC61,_complete_sequence.	5234
Sequence-11470	Cloning_vector_pYC66,_complete_sequence.	5085
Sequence-11471	Cloning_vector_pJF871,_complete_sequence.	12419
Sequence-11472	Cloning_vector_pJF872,_complete_sequence.	13048
Sequence-11473	Cloning_vector_pBG51,_complete_sequence.	3959
Sequence-11474	Cloning_vector_pFB1SB3Aek,_complete_sequence.	8968
Sequence-11475	Cloning_vector_pMQ353,_complete_sequence.	8843
Sequence-11476	Cloning_vector_pAB32,_complete_sequence.	9121
Sequence-11477	Cloning_vector_pPM7g,_complete_sequence.	6778
Sequence-11478	Cloning_vector_pTcTAPN,_complete_sequence.	7515
Sequence-11479	Cloning_vector_pTcGFPN,_complete_sequence.	7584
Sequence-11480	Cloning_vector_pBEM3,_complete_sequence.	4791
Sequence-11481	Cloning_vector_TNN,_complete_sequence.	8907
Sequence-11482	Cloning_vector_pCYPAC7,_complete_sequence.	11660
Sequence-11483	Cloning_vector_pGTVL2,_complete_sequence.	7947
Sequence-11484	Cloning_vector_pUC.Donor.GFP.dATG,_complete_sequence.	4180
Sequence-11485	Cloning_vector_pPLV07,_complete_sequence.	5473
Sequence-11486	Cloning_vector_pPLV08,_complete_sequence.	5827
Sequence-11487	Cloning_vector_pPLV17,_complete_sequence.	5797
Sequence-11488	Cloning_vector_pPLV24,_complete_sequence.	6862
Sequence-11489	Cloning_vector_pPLV26,_complete_sequence.	6395
Sequence-11490	Cloning_vector_pPLV29,_complete_sequence.	8799
Sequence-11491	Cloning_vector_pHPmK3,_complete_sequence.	4908
Sequence-11492	Cloning_vector_pRR23,_complete_sequence.	10042
Sequence-11493	Cloning_vector_pRR13,_complete_sequence.	7077
Sequence-11494	Cloning_vector_pRR12,_complete_sequence.	7233
Sequence-11495	Cloning_vector_pRR26,_complete_sequence.	8799
Sequence-11496	Cloning_vector_pBG1805,_complete_sequence.	6573
Sequence-11497	Cloning_vector_pSX,_complete_sequence.	6268
Sequence-11498	Cloning_vector_pADH77,_complete_sequence.	8250
Sequence-11499	Cloning_vector_pIGPZT,_complete_sequence.	3515
Sequence-11500	Cloning_vector_pBB199,_complete_sequence.	7185
Sequence-11501	Cloning_vector_pJHU1,_complete_sequence.	2050
Sequence-11502	Cloning_vector_pGEN01,_complete_sequence.	3372
Sequence-11503	Cloning_vector_pAK405,_complete_sequence.	3937
Sequence-11504	Cloning_vector_pRLYT1,_complete_sequence.	6193
Sequence-11505	Cloning_vector_pRLYT2,_complete_sequence.	6403
Sequence-11506	Cloning_vector_pRLBCR8,_complete_sequence.	7468
Sequence-11507	Cloning_vector_AN,_complete_sequence.	4104
Sequence-11508	Cloning_vector_AC,_complete_sequence.	4101
Sequence-11509	Cloning_vector_pURHI,_complete_sequence.	4748
Sequence-11510	Cloning_vector_SBa_000534,_complete_sequence.	22509
Sequence-11511	Cloning_vector_pPZP600,_complete_sequence.	5389
Sequence-11512	Cloning_vector_pPZP500,_complete_sequence.	5638
Sequence-11513	Cloning_vector_pBART,_complete_sequence.	9834
Sequence-11514	Cloning_vector_pPOP6IRPDS,_complete_sequence.	12647
Sequence-11515	Cloning_vector_pCIB4,_complete_sequence.	8922
Sequence-11516	Cloning_Vector_pKANNIFAD401,_complete_sequence.	6859
Sequence-11517	Cloning_Vector_pKANNIFAD200,_complete_sequence.	6457
Sequence-11518	Cloning_vector_pSEVA121,_complete_sequence.	3924
Sequence-11519	Cloning_vector_pSEVA141,_complete_sequence.	3671
Sequence-11520	Cloning_vector_pSEVA211,_complete_sequence.	1993
Sequence-11521	Cloning_vector_pSEVA221,_complete_sequence.	3823
Sequence-11522	Cloning_vector_pSEVA521,_complete_sequence.	4160
Sequence-11523	Cloning_vector_pSEVA531,_complete_sequence.	3460
Sequence-11524	Cloning_vector_pSEVA551,_complete_sequence.	5612
Sequence-11525	Cloning_vector_pSEVA332,_complete_sequence.	3417
Sequence-11526	Cloning_vector_pSEVA433,_complete_sequence.	3631
Sequence-11527	Cloning_vector_pSEVA528,_complete_sequence.	6118
Sequence-11528	Cloning_vector_pSEVA237D,_complete_sequence.	3783
Sequence-11529	Cloning_vector_pKOS6b,_complete_sequence.	6689
Sequence-11530	Cloning_vector_pIRIA,_complete_sequence.	11038
Sequence-11531	Cloning_vector_pLZ12spec,_complete_sequence.	3729
Sequence-11532	Cloning_vector_pJC24,_complete_sequence.	13804
Sequence-11533	Cloning_vector_pRK7813,_complete_sequence.	11797
Sequence-11534	Cloning_vector_pKIKOrbsARKm,_complete_sequence.	4504
Sequence-11535	Cloning_vector_pNB90,_complete_sequence.	7165
Sequence-11536	Cloning_vector_pNB95,_complete_sequence.	9154
Sequence-11537	Cloning_vector_pCntrlPIGver2,_complete_sequence.	6007
Sequence-11538	Cloning_vector_pCALnFLAG,_complete_sequence.	5825
Sequence-11539	Cloning_vector_pCPT8,_complete_sequence.	3012
Sequence-11540	Cloning_vector_pUNI20,_complete_sequence.	2490
Sequence-11541	Cloning_vector_pUNI30,_complete_sequence.	2326
Sequence-11542	Cloning_vector_pLS13,_complete_sequence.	4460
Sequence-11543	Cloning_vector_pLM3,_complete_sequence.	5042
Sequence-11544	Cloning_vector_pLM53,_complete_sequence.	7232
Sequence-11545	Cloning_vector_pBgal,_complete_sequence.	5651
Sequence-11546	Cloning_vector_pMAMneo,_complete_sequence.	8413
Sequence-11547	Cloning_vector_pSVbeta,_complete_sequence.	6894
Sequence-11548	Cloning_vector_pBacPAK1,_complete_sequence.	5461
Sequence-11549	Cloning_vector_rpDR2,_complete_sequence.	10850
Sequence-11550	Cloning_vector_pGEM58ZNf(-),_complete_sequence.	3257
Sequence-11551	Cloning_vector_pDO19,_complete_sequence.	11581
Sequence-11552	Cloning_vector_pJH391,_complete_sequence.	7044
Sequence-11553	Cloning_vector_pFH2191,_complete_sequence.	3029
Sequence-11554	Cloning_vector_pCM160,_complete_sequence.	7974
Sequence-11555	Cloning_vector_pX1918G,_complete_sequence.	5008
Sequence-11556	Cloning_vector_pGFP,_complete_sequence.	3344
Sequence-11557	Cloning_vector_pZC320,_complete_sequence.	7528
Sequence-11558	Cloning_vector_pAS2,_complete_sequence.	8414
Sequence-11559	Cloning_vector_pHUKH3,_complete_sequence.	7511
Sequence-11560	Cloning_vector_pSW4427T,_complete_sequence.	4565
Sequence-11561	Cloning_vector_pJAP8,_complete_sequence.	6766
Sequence-11562	Cloning_vector_pSM565,_complete_sequence.	6885
Sequence-11563	Cloning_vector_pACCMVpLpARS(+),_partial_sequence.	1096
Sequence-11564	Cloning_vector_pUC13,_complete_sequence.	2680
Sequence-11565	Cloning_vector_pEX18Ap,_complete_sequence.	5842
Sequence-11566	Cloning_vector_pWSK29,_complete_sequence.	5434
Sequence-11567	Cloning_vector_yGALset401,_complete_sequence.	5586
Sequence-11568	Cloning_vector_pCD342,_complete_sequence.	9793
Sequence-11569	Cloning_vector_pKOHPRT_complete_sequence.	5482
Sequence-11570	Cloning_vector_pNTKV1901,_complete_sequence.	5608
Sequence-11571	Cloning_vector_pVZ323_complete_sequence.	9114
Sequence-11572	Cloning_vector_pUNI70,_complete_sequence.	2547
Sequence-11573	Cloning_vector_pACN_complete_sequence.	6652
Sequence-11574	Cloning_vector_pOK12,_complete_sequence.	2134
Sequence-11575	Cloning_Vector_pBIND,_complete_sequence.	6360
Sequence-11576	Cloning_Vector_pG5luc,_complete_sequence.	4955
Sequence-11577	Cloning_vector_pBIG,_complete_sequence.	11335
Sequence-11578	Cloning_vector_pMAM,_complete_sequence.	7632
Sequence-11579	Cloning_vector_pHelper,_complete_sequence.	11635
Sequence-11580	Cloning_vector_pGAD10,_complete_sequence.	6650
Sequence-11581	pExCell_cloning_vector,_complete_sequence.	4190
Sequence-11582	pSL1190_cloning_vector,_complete_sequence.	3422
Sequence-11583	Cloning_vector_pKRX,_complete_sequence.	2976
Sequence-11584	Cloning_vector_pLOI2065_complete_sequence.	4356
Sequence-11585	Cloning_vector_pRNA8,_complete_sequence.	11918
Sequence-11586	Cloning_vector_pECSBAC4,_complete_sequence.	9525
Sequence-11587	Cloning_vector_pSW4426T,_complete_sequence.	4424
Sequence-11588	Cloning_vector_pQLinkH,_complete_sequence.	4901
Sequence-11589	Cloning_vector_pOK12,_complete_sequence.	2229
Sequence-11590	Cloning_vector_pCPP5386,_complete_sequence.	11865
Sequence-11591	Cloning_vector_pSB156,_complete_sequence.	6689
Sequence-11592	Cloning_vector_pAW8_TAP,_complete_sequence.	10466
Sequence-11593	Cloning_vector_pDM312,_complete_sequence.	3653
Sequence-11594	Cloning_vector_pDM276,_complete_sequence.	3518
Sequence-11595	Cloning_vector_pUCLIB,_complete_sequence.	2881
Sequence-11596	Cloning_vector_pHC85,_complete_sequence.	8865
Sequence-11597	Cloning_vector_pHC65,_complete_sequence.	9177
Sequence-11598	Cloning_vector_pHC67,_complete_sequence.	9157
Sequence-11599	Cloning_vector_pK18mobsacB,_complete_sequence.	5719
Sequence-11600	Cloning_vector_pOpt_gLuc_Paro,_complete_sequence.	6497
Sequence-11601	Cloning_vector_pPLV01_v2,_complete_sequence.	4308
Sequence-11602	Cloning_vector_pPLV02_v2,_complete_sequence.	4555
Sequence-11603	Cloning_vector_pPLV21_v2,_complete_sequence.	5743
Sequence-11604	Cloning_vector_pXY2,_complete_sequence.	7426
Sequence-11605	Cloning_vector_pEX18gmGW,_complete_sequence.	8131
Sequence-11606	Cloning_vector_pDONRpEX18Tc,_complete_sequence.	8899
Sequence-11607	Cloning_vector_pFF753,_complete_sequence.	3166
Sequence-11608	Cloning_vector_BASIC_5_Amp,_complete_sequence.	3951
Sequence-11609	Cloning_vector_pYC34,_complete_sequence.	6412
Sequence-11610	Cloning_vector_pYC42,_complete_sequence.	5228
Sequence-11611	Cloning_vector_pYC48,_complete_sequence.	6024
Sequence-11612	Cloning_vector_pYC52,_complete_sequence.	6640
Sequence-11613	Cloning_vector_pYC55,_complete_sequence.	5234
Sequence-11614	Cloning_vector_pYC62,_complete_sequence.	4627
Sequence-11615	Cloning_vector_pR18GFP,_complete_sequence.	3655
Sequence-11616	Cloning_vector_pBPS,_complete_sequence.	7571
Sequence-11617	Cloning_vector_pRSF1030S,_complete_sequence.	4537
Sequence-11618	Cloning_vector_pRSF1030C,_complete_sequence.	3346
Sequence-11619	Cloning_vector_pFL8,_complete_sequence.	8921
Sequence-11620	Cloning_vector_pRJK037,_complete_sequence.	3172
Sequence-11621	Cloning_vector_pMGK,_complete_sequence.	5363
Sequence-11622	Cloning_vector_pSC0,_complete_sequence.	6837
Sequence-11623	Cloning_vector_pNZ4,_complete_sequence.	9809
Sequence-11624	Cloning_vector_pARAn58,_complete_sequence.	6144
Sequence-11625	Cloning_vector_pOJ260,_complete_sequence.	3469
Sequence-11626	Cloning_vector_pSOL9CAP,_complete_sequence.	9182
Sequence-11627	Cloning_vector_pHR307a,_complete_sequence.	10725
Sequence-11628	Cloning_vector_pHPmF1,_complete_sequence.	5431
Sequence-11629	Cloning_vector_pRR21,_complete_sequence.	9400
Sequence-11630	Cloning_vector_pRR01,_complete_sequence.	5554
Sequence-11631	Cloning_vector_pMU749,_complete_sequence.	5500
Sequence-11632	Cloning_vector_pBR939b,_complete_sequence.	5566
Sequence-11633	Cloning_vector_pRLB1,_complete_sequence.	4105
Sequence-11634	Cloning_vector_pRLBER9,_complete_sequence.	7090
Sequence-11635	Cloning_vector_pRKW2,_complete_sequence.	4750
Sequence-11636	Cloning_vector_pSEVA343,_complete_sequence.	3864
Sequence-11637	Cloning_vector_pSEVA112S,_complete_sequence.	2495
Sequence-11638	Cloning_vector_pSEVA328,_complete_sequence.	5626
Sequence-11639	Cloning_vector_pSEVA246,_complete_sequence.	9350
Sequence-11640	Cloning_vector_pSEVA237Y,_complete_sequence.	3825
Sequence-11641	Cloning_vector_pSEVA247C,_complete_sequence.	4272
Sequence-11642	Cloning_vector_pSEVA237R,_complete_sequence.	3816
Sequence-11643	Cloning_vector_pT181mcs,_complete_sequence.	4759
Sequence-11644	Cloning_vector_pDEST414CYC1t7,_complete_sequence.	6817
Sequence-11645	Cloning_vector_pIREB,_complete_sequence.	10070
Sequence-11646	Cloning_vector_pJOC21,_complete_genome.	3939
Sequence-11647	Cloning_vector_EstOF4Histag,_complete_sequence.	804
Sequence-11648	Cloning_vector_pEBM101,_complete_sequence.	11734
Sequence-11649	Cloning_vector_pEBM120,_complete_sequence.	8169
Sequence-11650	Cloning_vector_pGRB2.2,_complete_sequence.	5832
Sequence-11651	Cloning_vector_pGRB2.3,_complete_sequence.	6534
Sequence-11652	Cloning_vector_pBM16.1,_complete_sequence.	4520
Sequence-11653	Cloning_vector_pTH1937,_complete_sequence.	2638
Sequence-11654	Cloning_vector_PJAC98,_complete_sequence.	7724
Sequence-11655	Cloning_vector_pLV.donorS1,_complete_sequence.	8315
Sequence-11656	Cloning_vector_Ptet_ISceI_HYGb_XOGHOL,_complete_sequence.	8102
Sequence-11657	Cloning_vector_pEnEL2LUC,_complete_sequence.	5177
Sequence-11658	Cloning_vector_pGGE000,_complete_sequence.	3749
Sequence-11659	Cloning_vector_pGGF000,_complete_sequence.	3749
Sequence-11660	Cloning_vector_pGGA004,_complete_sequence.	3550
Sequence-11661	Cloning_vector_pGGD001,_complete_sequence.	3507
Sequence-11662	Cloning_vector_pGGF004,_complete_sequence.	4869
Sequence-11663	Cloning_vector_pGGF007,_complete_sequence.	4024
Sequence-11664	Cloning_vector_pGGF012,_complete_sequence.	4317
Sequence-11665	Cloning_vector_pGGD005,_complete_sequence.	3501
Sequence-11666	Cloning_vector_pGGE005,_complete_sequence.	3229
Sequence-11667	Cloning_vector_pV3lacZ,_complete_sequence.	7551
Sequence-11668	Cloning_vector_pFastBacgG,_complete_sequence.	3356
Sequence-11669	Cloning_vector_1446_neo,_complete_sequence.	9934
Sequence-11670	Cloning_vector_pYAT7,_complete_sequence.	8694
Sequence-11671	Cloning_vector_pDS1028,_complete_sequence.	5664
Sequence-11672	Cloning_vector_pPV512,_complete_sequence.	8024
Sequence-11673	Cloning_vector_pJB036,_complete_sequence.	7067
Sequence-11674	Cloning_vector_pUNI75,_complete_sequence.	2060
Sequence-11675	Cloning_vector_pDC123,_complete_sequence.	4496
Sequence-11676	Cloning_vector_pUC19RP12,_complete_sequence.	3474
Sequence-11677	Cloning_vector_pRS4210,_complete_sequence.	7168
Sequence-11678	Cloning_vector_pRS4213,_complete_sequence.	8182
Sequence-11679	Cloning_vector_pBS150v,_complete_sequence.	4635
Sequence-11680	Cloning_vector_pUC21,_complete_sequence.	3200
Sequence-11681	Cloning_vector_pMU1327_polylinker_DNA.	74
Sequence-11682	Cloning_vector_Lorist6Xh,_complete_sequence.	6676
Sequence-11683	Cloning_vector_pHIS3NX,_complete_sequence.	4347
Sequence-11684	Cloning_vector_pMAMneoBlue,_complete_sequence.	8475
Sequence-11685	Cloning_vector_pYEUra3,_complete_sequence.	6170
Sequence-11686	Cloning_vector_p824,_complete_sequence.	2995
Sequence-11687	Cloning_vector_pLM101,_complete_sequence.	3432
Sequence-11688	Cloning_vector_pDO2,_complete_sequence.	9386
Sequence-11689	Cloning_vector_pPOP,_complete_sequence.	5544
Sequence-11690	Cloning_vector_pDN19,_complete_sequence.	7827
Sequence-11691	Cloning_vector_pHUKH2,_complete_sequence.	7465
Sequence-11692	Cloning_vector_pCW,_complete_sequence.	2837
Sequence-11693	Cloning_vector_pCloneHyg1,_complete_sequence.	4160
Sequence-11694	Cloning_vector_pTrueBlue,_complete_sequence.	2913
Sequence-11695	Cloning_vector_pTriplEx2,_complete_sequence.	3589
Sequence-11696	Cloning_vector_pUASpDir,_complete_sequence.	10052
Sequence-11697	Cloning_vector_pNICO,_complete_sequence.	7269
Sequence-11698	Cloning_vector_pRL446,_complete_sequence.	3813
Sequence-11699	Cloning_vector_lambdaS2775,_complete_sequence.	37769
Sequence-11700	Cloning_vector_pMW100,_complete_sequence.	5061
Sequence-11701	Cloning_vector_pPIPRA540,_complete_sequence.	12117
Sequence-11702	Cloning_vector_pPIPRA542,_complete_sequence.	11761
Sequence-11703	Cloning_vector_pNG1,_complete_sequence.	8190
Sequence-11704	Cloning_vector_pRJK055,_complete_sequence.	2692
Sequence-11705	Cloning_vector_pPh079,_complete_sequence.	3581
Sequence-11706	Cloning_vector_pTDuExAn6,_complete_sequence.	15734
Sequence-11707	Cloning_vector_EN.CFP,_complete_sequence.	10658
Sequence-11708	Cloning_vector_pRJK070,_complete_sequence.	2671
Sequence-11709	Cloning_vector_pPh037,_complete_sequence.	3172
Sequence-11710	Cloning_vector_pPh112,_complete_sequence.	4461
Sequence-11711	Cloning_vector_pPh113,_complete_sequence.	4447
Sequence-11712	Cloning_vector_pFB1SB3Atev,_complete_sequence.	8971
Sequence-11713	Cloning_vector_pFB1SPepB2Atev,_complete_sequence.	7831
Sequence-11714	Cloning_vector_pFB1SGFPB2Atev,_complete_sequence.	8542
Sequence-11715	Cloning_vector_pTc6HN,_complete_sequence.	6888
Sequence-11716	Cloning_vector_pYFPbglS,_complete_sequence.	6181
Sequence-11717	Cloning_vector_pCFPamy,_complete_sequence.	7265
Sequence-11718	Cloning_vector_pNT1,_complete_sequence.	3697
Sequence-11719	Cloning_vector_pCST5,_complete_sequence.	4398
Sequence-11720	Cloning_vector_pUC.Donor.RFP.dATG,_complete_sequence.	4220
Sequence-11721	Cloning_vector_AAV_Jx,_complete_sequence.	5097
Sequence-11722	Cloning_vector_AAV,_complete_sequence.	5054
Sequence-11723	Cloning_vector_pIGPZA,_complete_sequence.	3072
Sequence-11724	Cloning_vector_pRL2,_complete_sequence.	2703
Sequence-11725	Cloning_vector_pRLYE1,_complete_sequence.	5499
Sequence-11726	Cloning_vector_pRLBE2,_complete_sequence.	6543
Sequence-11727	Cloning_vector_pLECL,_complete_sequence.	5958
Sequence-11728	Cloning_vector_pBR103,_complete_sequence.	6835
Sequence-11729	Cloning_vector_pSEVA633,_complete_sequence.	3450
Sequence-11730	Cloning_vector_pSEVA214,_complete_sequence.	3420
Sequence-11731	Cloning_vector_pSEVA414,_complete_sequence.	3479
Sequence-11732	Cloning_vector_pSEVA428,_complete_sequence.	5840
Sequence-11733	Cloning_vector_pSEVA225,_complete_sequence.	6964
Sequence-11734	Cloning_vector_pSEVA237C,_complete_sequence.	3825
Sequence-11735	Cloning_vector_pSEVA227R,_complete_sequence.	4516
Sequence-11736	Cloning_vector_pDEST414TEFt7,_complete_sequence.	6814
Sequence-11737	Cloning_vector_pDEST415TEFt7,_complete_sequence.	8047
Sequence-11738	Cloning_vector_pDEST416TEFt7,_complete_sequence.	6924
Sequence-11739	Cloning_vector_pIRIB,_complete_sequence.	11038
Sequence-11740	Cloning_vector_pADH33,_complete_sequence.	7117
Sequence-11741	Cloning_vector_pDAL649,_complete_sequence.	3905
Sequence-11742	Cloning_vector_pKIKOlacZCm,_complete_sequence.	3696
Sequence-11743	Cloning_vector_pKIKOrbsARCm,_complete_sequence.	4043
Sequence-11744	Cloning_vector_pFM141,_complete_sequence.	8180
Sequence-11745	Cloning_vector_pFTP2,_complete_sequence.	3570
Sequence-11746	Cloning_vector_pTn7APH1AluxK5,_complete_sequence.	9864
Sequence-11747	Cloning_vector_pCV_cistron34,_complete_sequence.	23770
Sequence-11748	Cloning_vector_pCV_usvwzm1,_complete_sequence.	8970
Sequence-11749	Cloning_vector_pCV_usvwzm30,_complete_sequence.	9299
Sequence-11750	Cloning_vector_pLZ1,_complete_sequence.	4712
Sequence-11751	Cloning_vector_pCloneNat1,_complete_sequence.	3707
Sequence-11752	Cloning_vector_pCASP,_complete_sequence.	3048
Sequence-11753	Cloning_vector_pCPP5250,_complete_sequence.	5155
Sequence-11754	Cloning_vector_pAW1,_complete_sequence.	4835
Sequence-11755	Cloning_vector_pStartC2,_complete_sequence.	3048
Sequence-11756	Cloning_vector_pMQ150,_complete_sequence.	8116
Sequence-11757	Cloning_vector_pGSC04,_complete_sequence.	4135
Sequence-11758	Cloning_vector_pGSC05,_complete_sequence.	3621
Sequence-11759	Cloning_vector_pGSC06,_complete_sequence.	4287
Sequence-11760	Cloning_vector_pGSC08,_complete_sequence.	4084
Sequence-11761	Cloning_vector_pFY20,_complete_sequence.	6807
Sequence-11762	Cloning_vector_pDM347,_complete_sequence.	4962
Sequence-11763	Cloning_vector_pMAK28,_complete_sequence.	2706
Sequence-11764	Cloning_vector_pmirGLO,_complete_sequence.	7350
Sequence-11765	Cloning_vector_pEX302,_complete_sequence.	4188
Sequence-11766	Cloning_vector_pHC02,_complete_sequence.	4651
Sequence-11767	Cloning_vector_pHC04,_complete_sequence.	4660
Sequence-11768	Cloning_vector_pHC55,_complete_sequence.	8967
Sequence-11769	Cloning_vector_pCM410.1145,_complete_sequence.	10125
Sequence-11770	Cloning_vector_pCAG_VP16Gal4,_complete_sequence.	8761
Sequence-11771	Cloning_vector_pFF749,_complete_sequence.	3211
Sequence-11772	Cloning_vector_pJF753,_complete_sequence.	10701
Sequence-11773	Cloning_vector_pW1336,_complete_sequence.	6628
Sequence-11774	Cloning_vector_pBG25,_complete_sequence.	3959
Sequence-11775	Cloning_vector_pMA7SacB,_complete_sequence.	7337
Sequence-11776	Cloning_vector_pDMK3,_complete_sequence.	6820
Sequence-11777	Cloning_vector_pDuExDn6,_complete_sequence.	8355
Sequence-11778	Cloning_vector_pAB34,_complete_sequence.	9194
Sequence-11779	Cloning_vector_pCHC01,_complete_sequence.	8786
Sequence-11780	Cloning_vector_pZK18S,_complete_sequence.	3386
Sequence-11781	Cloning_vector_pTcCFPN,_complete_sequence.	7584
Sequence-11782	Cloning_vector_pGFPbglS,_complete_sequence.	6157
Sequence-11783	Cloning_vector_pYFPamy,_complete_sequence.	7420
Sequence-11784	Cloning_vector_pSIM3,_complete_sequence.	15596
Sequence-11785	Cloning_vector_EN.CFP.bGbpA,_complete_sequence.	10298
Sequence-11786	Cloning_vector_pETL7,_complete_sequence.	5246
Sequence-11787	Cloning_vector_pAW8ENdeI,_complete_sequence.	8289
Sequence-11788	Cloning_vector_pSV2cat,_partial_sequence.	685
Sequence-11789	Cloning_vector_pPLV09,_complete_sequence.	6181
Sequence-11790	Cloning_vector_pPLV10,_complete_sequence.	6184
Sequence-11791	Cloning_vector_pPLV19,_complete_sequence.	5443
Sequence-11792	Cloning_vector_pPLV30,_complete_sequence.	9152
Sequence-11793	Cloning_vector_pAA56,_complete_sequence.	3420
Sequence-11794	Cloning_vector_pCLacZGT,_complete_sequence.	8233
Sequence-11795	Cloning_vector_pRR14,_complete_sequence.	7452
Sequence-11796	Cloning_vector_pRR15,_complete_sequence.	7311
Sequence-11797	Cloning_vector_pT2gammaCryK2,_complete_sequence.	7438
Sequence-11798	Cloning_vector_pADH70,_complete_sequence.	7820
Sequence-11799	Cloning_vector_pQRBL,_complete_sequence.	4515
Sequence-11800	Cloning_vector_pMAT3,_complete_sequence.	7275
Sequence-11801	Cloning_vector_pNHG,_complete_sequence.	16863
Sequence-11802	Cloning_vector_OX1124,_complete_sequence.	7024
Sequence-11803	Cloning_vector_OX3400,_complete_sequence.	9983
Sequence-11804	Cloning_vector_pSEVA236,_complete_sequence.	8903
Sequence-11805	Cloning_vector_pKOD_mazF,_complete_sequence.	7202
Sequence-11806	Cloning_vector_pSEVA338,_complete_sequence.	4926
Sequence-11807	Cloning_vector_pEBM100,_complete_sequence.	12613
Sequence-11808	Cloning_vector_pEBM103,_complete_sequence.	11541
Sequence-11809	Cloning_vector_pBM16,_complete_sequence.	4530
Sequence-11810	Cloning_vector_pTVDll42AEmerald,_complete_sequence.	6572
Sequence-11811	Cloning_vector_pPS2305,_complete_sequence.	4381
Sequence-11812	Cloning_vector_pTn7xluxG3,_complete_sequence.	9753
Sequence-11813	Cloning_vector_pGGA000,_complete_sequence.	3749
Sequence-11814	Cloning_vector_pGGD000,_complete_sequence.	3749
Sequence-11815	Cloning_vector_pGGB006,_complete_sequence.	2755
Sequence-11816	Cloning_vector_pGGF005,_complete_sequence.	5156
Sequence-11817	Cloning_vector_pGGE003,_complete_sequence.	3193
Sequence-11818	Cloning_vector_pblDHC1m,_complete_sequence.	4094
Sequence-11819	Cloning_vector_pINT,_complete_sequence.	8008
Sequence-11820	Cloning_vector_pG2RNAi2,_complete_sequence.	10824
Sequence-11821	Cloning_vector_pIJ12738,_complete_sequence.	3562
Sequence-11822	Cloning_vector_yGALset985,_complete_sequence.	5973
Sequence-11823	Cloning_vector_pKOTK_complete_sequence.	3825
Sequence-11824	Cloning_vector_pNTKV1902,_complete_sequence.	5608
Sequence-11825	Cloning_vector_pNTKV1905,_complete_sequence.	5608
Sequence-11826	Cloning_vector_pERV3,_complete_sequence.	8363
Sequence-11827	Cloning_vector_pVZ324_complete_sequence.	8424
Sequence-11828	Cloning_vector_pMyrCAM,_complete_sequence.	6023
Sequence-11829	Cloning_vector_pEGSH,_complete_sequence.	4829
Sequence-11830	Cloning_vector_pDR1149_complete_sequence.	4133
Sequence-11831	Cloning_vector_pGAD424,_complete_sequence.	6659
Sequence-11832	pCH110_cloning_vector,_complete_sequence.	7128
Sequence-11833	Cloning_vector_pRL1342,_complete_sequence.	8416
Sequence-11834	pRIT2T_cloning_vector,_complete_sequence.	4229
Sequence-11835	Cloning_vector_pGlac,_complete_sequence.	6280
Sequence-11836	Cloning_vector_pGlacRSV,_complete_sequence.	6864
Sequence-11837	Cloning_vector_pJB3,_complete_sequence.	4788
Sequence-11838	Cloning_vector_pJB3Cm6,_complete_sequence.	6227
Sequence-11839	Cloning_vector_pIA423,_complete_sequence.	16341
Sequence-11840	Cloning_vector_pBSL2A3_polylinker_region	168
Sequence-11841	Cloning_vector_pABC3,_complete_sequence.	5769
Sequence-11842	Cloning_vector_pCW2,_complete_sequence.	2903
Sequence-11843	Cloning_vector_pDRIVE,_complete_sequence.	3851
Sequence-11844	Cloning_vector_pBLCAT3T,_complete_sequence	4664
Sequence-11845	Cloning_vector_pQStrep2,_complete_sequence.	3499
Sequence-11846	Cloning_vector_pIDN4,_complete_sequence.	2059
Sequence-11847	Cloning_vector_pVCDcDL3,_complete_sequence.	4061
Sequence-11848	Cloning_vector_pLZ44,_complete_sequence.	3626
Sequence-11849	Cloning_vector_pGABI1,_complete_sequence.	5334
Sequence-11850	Cloning_vector_pHyVec2,_complete_sequence.	4368
Sequence-11851	Cloning_vector_pSRalphahygroY,_complete_sequence.	6588
